103年度觀光郵輪各航次進出港預報表,,,,,,
船名,靠泊碼頭,進港日期,進港時間,出港日期,出港時間,船務公司
VOYAGER 航海家,23,2月14日,08:00,2月14日,16:30,台灣船運企業股份有限公司
COSTA VICTORIA 維多利亞號,23,3月21日,09:00,3月21日,17:00,台灣船運企業股份有限公司
HENNA 海娜號,23,3月31日,12:00,3月31日,20:00,台灣船運企業股份有限公司
DIAMOND PRINCESS 鑽石公主號,23及24(74~76樁),4月21日,07:00,4月21日,17:00,台灣船運企業股份有限公司
SUN PRINCESS 太陽公主號,23,5月4日,07:00,5月4日,18:00,台灣船運企業股份有限公司
DIAMOND PRINCESS 鑽石公主號,23及24(74~76樁),5月10日,07:00,5月10日,17:00,台灣船運企業股份有限公司
SUN PRINCESS 太陽公主號,23,5月12日,07:00,5月12日,18:00,台灣船運企業股份有限公司
DIAMOND PRINCESS 鑽石公主號,23及24(74~76樁),5月19日,07:00,5月19日,17:00,台灣船運企業股份有限公司
SUN PRINCESS 太陽公主號,23,5月20日,07:00,5月20日,18:00,台灣船運企業股份有限公司
HENNA 海娜號,23,5月24日,09:00,5月24日,17:00,台灣船運企業股份有限公司
SUN PRINCESS 太陽公主號,23,5月26日,07:00,5月26日,18:00,台灣船運企業股份有限公司
DIAMOND PRINCESS 鑽石公主號,23及24(74~76樁),5月28日,07:00,5月28日,17:00,台灣船運企業股份有限公司
SUN PRINCESS 太陽公主號,23,6月5日,07:00,6月5日,18:00,台灣船運企業股份有限公司
SILVER DISCOVERER 銀色發現者,23,6月8日,06:30,6月8日,19:30,大漢船務代理有限公司
SUN PRINCESS 太陽公主號,23,6月13日,07:00,6月13日,18:00,台灣船運企業股份有限公司
HENNA 海娜號,23,6月14日,10:00,6月14日,17:00,台灣船運企業股份有限公司
HENNA 海娜號,23,6月25日,11:00,6月25日,19:00,台灣船運企業股份有限公司
SILVER DISCOVERER 銀色發現者,23,9月15日,08:00,9月15日,18:00,大漢船務代理有限公司
