鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元
文山區,土地,政大段二小段61~90地號,1.0,其他,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,124460,0,,0.0,0
文山區,土地,政大段二小段61~90地號,58.0,住,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6148000,106000,,0.0,0
文山區,土地,政大段二小段61~90地號,94.0,住,,,10212,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,9964000,106000,,0.0,0
文山區,房地(土地+建物),臺北市文山區辛亥路六段86巷6弄1~30號,15.57,住,,,10212,土地1建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,84.44999999999999,3,2,1,有,無,8000000,94731,,0.0,0
文山區,房地(土地+建物),臺北市文山區福興路63巷4弄1~30號,25.39,住,,,10301,土地3建物1車位0,五層，電梯樓梯間,008,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860613,73.10000000000001,2,2,1,有,有,10930000,149521,,0.0,0
文山區,房地(土地+建物),臺北市文山區木柵路三段31~60號,10.24,商,,,10301,土地1建物1車位0,十六層,017,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831111,100.14,3,2,2,有,有,16300000,162772,,0.0,0
文山區,房地(土地+建物),臺北市文山區辛亥路六段91~120號,24.77,住,,,10302,土地2建物1車位0,五層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,99.71,3,2,2,有,無,2470000,24772,,0.0,0
文山區,房地(土地+建物),臺北市文山區景興路282巷1~30號,3.93,商,,,10301,土地2建物1車位0,十二層,013,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0970304,37.7,1,1,1,有,有,7580000,201061,,0.0,0
文山區,房地(土地+建物),臺北市文山區景興路181~210號,3.71,商,,,10302,土地1建物1車位0,八層,024,套房(1房1廳1衛),商業用,見使用執照,0850104,45.32,1,1,1,有,有,6680000,147396,,0.0,0
文山區,房地(土地+建物),臺北市文山區辛亥路七段76巷1~30號,25.8,住,,,10212,土地1建物1車位0,一層,005,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.15,3,2,1,有,無,16500000,169840,,0.0,0
中正區,房地(土地+建物),臺北市中正區重慶南路三段121~150號,2.81,商,,,10301,土地2建物1車位0,六層,012,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0971117,28.01,1,1,1,有,有,5800000,207069,,0.0,0
